snr,comb_amp,overlap,k,bias_plus,bias_plus,bias_plus,coverage,coverage,coverage
,,,,median,mean,max,median,mean,max
0.5,10.0,True,44,99.99999568469266,100.00000104011333,100.00002802486682,0.0,0.0,0.0
0.5,10.0,True,45,99.99999911363503,100.00000217417707,100.00002227401153,0.0,0.0,0.0
0.5,10.0,True,46,100.00000563489151,100.00000248283837,100.00001659164292,0.0,0.0,0.0
0.5,10.0,True,47,100.00000436676356,100.00000422146607,100.00001343094237,0.0,0.0,0.0
0.5,10.0,True,48,100.00000090842468,100.0000033630516,100.00001816463404,0.0,0.0,0.0
0.5,10.0,True,49,99.99999666503456,99.99999628715258,100.0000192956922,0.0,0.0,0.0
0.5,10.0,True,50,99.99999773321257,99.99999707776357,100.00001704769821,0.0,0.0,0.0
0.5,15.0,False,1,13.117200008224435,13.127617905044861,13.174162710829787,0.3,0.3,0.3
0.5,15.0,False,2,100.01873040934652,100.01891016679087,100.02124470838477,0.0,0.0,0.0
0.5,15.0,False,3,100.00001848196246,99.99998721707058,100.00007807409648,0.0,0.0,0.0
0.5,15.0,False,4,99.99998694656037,99.99996581180378,100.00007805650014,0.0,0.0,0.0
0.5,15.0,False,5,100.00001075309555,99.99997673990445,100.00003595752256,0.0,0.0,0.0
0.5,15.0,False,6,100.00000088427474,99.99999453028204,100.00008700905911,0.0,0.0,0.0
0.5,15.0,False,7,99.99999849918072,99.99999061079288,100.00008825102944,0.0,0.0,0.0
0.5,15.0,False,8,100.00001154019994,99.99999240933519,100.00007547833857,0.0,0.0,0.0
0.5,15.0,False,9,100.00001097527465,99.99999059692409,100.0000688469153,0.0,0.0,0.0
0.5,15.0,False,10,99.99997933462441,99.99997560972801,100.00001622481773,0.0,0.0,0.0
0.5,15.0,False,11,99.99997480016299,99.99997278357132,99.99999853569366,0.0,0.0,0.0
0.5,15.0,False,12,99.99997424202317,99.99997696710605,100.00002215130908,0.0,0.0,0.0
0.5,15.0,False,13,99.9999894926957,99.99998885269751,100.00002102051567,0.0,0.0,0.0
0.5,15.0,False,14,99.99998578563017,99.99998433424092,100.00004152927781,0.0,0.0,0.0
0.5,15.0,False,15,99.99998366424589,99.99998209625997,100.0000581975402,0.0,0.0,0.0
0.5,15.0,False,16,99.99998396387218,99.99999064628621,100.0000643171001,0.0,0.0,0.0
0.5,15.0,False,17,99.99998538318616,100.00000250854683,100.0000618764795,0.0,0.0,0.0
0.5,15.0,False,18,100.00001777575997,100.00000834016461,100.00005905685725,0.0,0.0,0.0
0.5,15.0,False,19,100.0000241715363,100.0000157503761,100.00005881511609,0.0,0.0,0.0
0.5,15.0,False,20,100.00001760651179,100.0000185743786,100.00005698860184,0.0,0.0,0.0
0.5,15.0,False,21,99.99999860536258,100.00000398457668,100.00004250358387,0.0,0.0,0.0
0.5,15.0,False,22,100.00000109183028,100.00000350051262,100.00004072797702,0.0,0.0,0.0
0.5,15.0,False,23,99.99998208333977,99.99999464873083,100.00004557571283,0.0,0.0,0.0
0.5,15.0,False,24,99.99997830586466,99.99999083007147,100.00004869982939,0.0,0.0,0.0
0.5,15.0,False,25,99.9999844799238,99.99999395326934,100.00004415369455,0.0,0.0,0.0
0.5,15.0,False,26,99.99997530259034,99.9999867677216,100.00004110705046,0.0,0.0,0.0
0.5,15.0,False,27,99.99997886809678,99.99998828576875,100.0000574016806,0.0,0.0,0.0
0.5,15.0,False,28,99.99997558971184,99.99998626545613,100.00005871271983,0.0,0.0,0.0
0.5,15.0,False,29,99.99997612117782,99.99998406955856,100.00005288974647,0.0,0.0,0.0
0.5,15.0,False,30,99.9999703081038,99.99998614967492,100.00005633389912,0.0,0.0,0.0
0.5,15.0,False,31,99.99997819386245,99.99999181345177,100.00004150388583,0.0,0.0,0.0
0.5,15.0,False,32,99.99999688380561,99.99999376959727,100.000036498214,0.0,0.0,0.0
0.5,15.0,False,33,100.00000403339932,99.99999319622779,100.00001504170844,0.0,0.0,0.0
0.5,15.0,False,34,99.9999983962779,99.99999253767555,100.0000210583103,0.0,0.0,0.0
0.5,15.0,False,35,99.99999170821475,99.99999301430594,100.00002655244418,0.0,0.0,0.0
0.5,15.0,False,36,99.99999362407459,99.99999807930195,100.0000221855469,0.0,0.0,0.0
0.5,15.0,False,37,99.99999866690467,100.00000635693837,100.00003385840716,0.0,0.0,0.0
0.5,15.0,False,38,99.99999794269216,99.99999898577505,100.00003287163308,0.0,0.0,0.0
0.5,15.0,False,39,99.99999766046838,100.00000211506662,100.00003205341818,0.0,0.0,0.0
0.5,15.0,False,40,100.00000172434038,100.00000377221126,100.00002040785986,0.0,0.0,0.0
0.5,15.0,False,41,100.00000297930829,100.00000572915548,100.0000277507868,0.0,0.0,0.0
0.5,15.0,False,42,100.00000869351908,100.00000764548243,100.00002624564411,0.0,0.0,0.0
0.5,15.0,False,43,100.000009483257,100.00000826121615,100.00003105240702,0.0,0.0,0.0
0.5,15.0,False,44,100.00000927688787,100.00000793537954,100.00003714746705,0.0,0.0,0.0
0.5,15.0,False,45,100.00000930382494,100.00000817556813,100.00003308227491,0.0,0.0,0.0
0.5,15.0,False,46,100.00000610110102,100.00000554317873,100.0000231553521,0.0,0.0,0.0
0.5,15.0,False,47,100.00001028290163,100.00000443529126,100.00002284262993,0.0,0.0,0.0
0.5,15.0,False,48,100.00000167214998,100.00000741217926,100.00002728456751,0.0,0.0,0.0
0.5,15.0,False,49,99.99999873496989,100.00000184504293,100.0000357599712,0.0,0.0,0.0
