snr,comb_amp,overlap,k,seed,bias_plus,coverage
0.5,5.0,False,11,42,99.99999850011652,0.0
0.5,5.0,False,12,42,99.9999889856396,0.0
0.5,5.0,False,13,42,99.99998945947019,0.0
0.5,5.0,False,14,42,99.9999857489961,0.0
0.5,5.0,False,15,42,99.99998363145669,0.0
0.5,5.0,False,16,42,99.99998392734221,0.0
0.5,5.0,False,17,42,99.99997660779115,0.0
0.5,5.0,False,18,42,99.99998150724927,0.0
0.5,5.0,False,19,42,100.00000880643834,0.0
0.5,5.0,False,20,42,100.00001038598327,0.0
0.5,5.0,False,21,42,99.99999857991483,0.0
0.5,5.0,False,22,42,100.00000106796799,0.0
0.5,5.0,False,23,42,99.99998889353765,0.0
0.5,5.0,False,24,42,99.99998959732761,0.0
0.5,5.0,False,25,42,99.99999573661947,0.0
0.5,5.0,False,26,42,99.99999544892484,0.0
0.5,5.0,False,27,42,100.00000588688371,0.0
0.5,5.0,False,28,42,99.99998626706792,0.0
0.5,5.0,False,29,42,99.9999706670728,0.0
0.5,5.0,False,30,42,99.99996969174808,0.0
0.5,5.0,False,31,42,99.99996962203866,0.0
0.5,5.0,False,32,42,99.99996948490279,0.0
0.5,5.0,False,33,42,99.99996141355425,0.0
0.5,5.0,False,34,42,99.99994953575691,0.0
0.5,5.0,False,35,42,99.99996516698519,0.0
0.5,5.0,False,36,42,99.99998614663782,0.0
0.5,5.0,False,37,42,99.99998248449401,0.0
0.5,5.0,False,38,42,99.99996596488312,0.0
0.5,5.0,False,39,42,99.99997140960224,0.0
0.5,5.0,False,40,42,99.99998484885836,0.0
0.5,5.0,False,41,42,99.99998459326687,0.0
0.5,5.0,False,42,42,99.999984262006,0.0
0.5,5.0,False,43,42,99.99998818188443,0.0
0.5,5.0,False,44,42,99.99998385575326,0.0
0.5,5.0,False,45,42,99.99998401428692,0.0
0.5,5.0,False,46,42,99.99998296542888,0.0
0.5,5.0,False,47,42,99.99997448741954,0.0
0.5,5.0,False,48,42,99.99999886082517,0.0
0.5,5.0,False,49,42,99.99998354500414,0.0
0.5,5.0,False,50,42,99.9999833450101,0.0
0.5,5.0,False,1,43,54.016547428128966,0.1
0.5,5.0,False,2,43,100.01870632060997,0.0
0.5,5.0,False,3,43,100.00001847183248,0.0
0.5,5.0,False,4,43,100.00001980533771,0.0
0.5,5.0,False,5,43,100.00002736943011,0.0
0.5,5.0,False,6,43,100.00002477649288,0.0
0.5,5.0,False,7,43,100.00001840700875,0.0
0.5,5.0,False,8,43,100.00001154496269,0.0
0.5,5.0,False,9,43,100.00001098048223,0.0
0.5,5.0,False,10,43,99.99999608852843,0.0
0.5,5.0,False,11,43,99.99999654779539,0.0
0.5,5.0,False,12,43,100.0000221520414,0.0
0.5,5.0,False,13,43,100.00001152583812,0.0
0.5,5.0,False,14,43,100.00001150678008,0.0
0.5,5.0,False,15,43,100.0000025386326,0.0
0.5,5.0,False,16,43,100.0000101638264,0.0
0.5,5.0,False,17,43,100.00001884899481,0.0
0.5,5.0,False,18,43,100.00001777533973,0.0
0.5,5.0,False,19,43,100.00002417354122,0.0
0.5,5.0,False,20,43,100.00002615065048,0.0
0.5,5.0,False,21,43,99.99997956029597,0.0
0.5,5.0,False,22,43,99.99997587357765,0.0
0.5,5.0,False,23,43,99.99997943001563,0.0
0.5,5.0,False,24,43,99.9999783062977,0.0
0.5,5.0,False,25,43,99.99997951404836,0.0
0.5,5.0,False,26,43,99.9999752983156,0.0
0.5,5.0,False,27,43,99.99997886675519,0.0
0.5,5.0,False,28,43,99.99997558848816,0.0
0.5,5.0,False,29,43,99.9999787673858,0.0
0.5,5.0,False,30,43,99.99999034240483,0.0
0.5,5.0,False,31,43,100.00000010875236,0.0
0.5,5.0,False,32,43,99.99999686741359,0.0
0.5,5.0,False,33,43,100.00000554073986,0.0
0.5,5.0,False,34,43,100.00000504344983,0.0
0.5,5.0,False,35,43,99.99999171596312,0.0
0.5,5.0,False,36,43,99.99999362846543,0.0
0.5,5.0,False,37,43,99.99999867289597,0.0
